Time (elapsed) ,ECG (mV),Resp C (mV),Resp A (mV),Resp N (mV), SpO2 (mV)
00:00:00.390,1.470,-0.102,-0.363,0.266,98.000
00:00:00.400,-0.155,-0.103,-0.364,0.267,98.000
00:00:00.410,-0.825,-0.104,-0.363,0.267,98.000
00:00:00.420,-0.590,-0.105,-0.363,0.268,98.000
00:00:00.430,-0.350,-0.105,-0.362,0.269,98.000
00:00:00.440,-0.155,-0.106,-0.361,0.269,98.000
00:00:00.450,-0.170,-0.107,-0.360,0.270,98.000
00:00:00.460,-0.140,-0.114,-0.357,0.270,98.000
00:00:00.470,-0.155,-0.120,-0.355,0.271,98.000
00:00:00.480,-0.115,-0.127,-0.352,0.271,98.000
00:00:00.490,-0.125,-0.133,-0.350,0.272,98.000
00:00:00.500,-0.090,-0.140,-0.347,0.272,98.000
00:00:00.510,-0.095,-0.132,-0.351,0.273,98.000
00:00:00.520,-0.065,-0.124,-0.355,0.273,98.000
00:00:00.530,-0.055,-0.116,-0.358,0.274,98.000
00:00:00.540,-0.015,-0.108,-0.362,0.274,98.000
00:00:00.550,-0.005,-0.101,-0.366,0.274,98.000
00:00:00.560,0.035,-0.100,-0.367,0.275,98.000
00:00:00.570,0.045,-0.099,-0.369,0.275,98.000
00:00:00.580,0.090,-0.098,-0.371,0.275,98.000
00:00:00.590,0.110,-0.097,-0.372,0.276,98.000
00:00:00.600,0.150,-0.097,-0.374,0.276,98.000
00:00:00.610,0.180,-0.100,-0.372,0.276,98.000
00:00:00.620,0.205,-0.104,-0.370,0.276,98.000
00:00:00.630,0.225,-0.108,-0.369,0.275,98.000
00:00:00.640,0.230,-0.112,-0.367,0.275,98.000
00:00:00.650,0.220,-0.116,-0.366,0.275,98.000
00:00:00.660,0.235,-0.114,-0.364,0.273,98.000
00:00:00.670,0.230,-0.111,-0.363,0.271,98.000
00:00:00.680,0.200,-0.109,-0.362,0.270,98.000
00:00:00.690,0.170,-0.107,-0.360,0.268,98.000
00:00:00.700,0.120,-0.105,-0.359,0.267,98.000
00:00:00.710,0.075,-0.104,-0.358,0.264,98.000
00:00:00.720,0.040,-0.104,-0.356,0.261,98.000
00:00:00.730,0.020,-0.104,-0.355,0.259,98.000
00:00:00.740,0.005,-0.104,-0.353,0.256,98.000
00:00:00.750,-0.005,-0.104,-0.352,0.253,98.000
00:00:00.760,-0.005,-0.098,-0.350,0.250,98.000
00:00:00.770,-0.010,-0.093,-0.349,0.247,98.000
00:00:00.780,-0.015,-0.088,-0.348,0.244,98.000
00:00:00.790,-0.010,-0.082,-0.347,0.241,98.000
00:00:00.800,0.000,-0.077,-0.345,0.238,98.000
00:00:00.810,-0.005,-0.078,-0.343,0.235,98.000
00:00:00.820,-0.020,-0.079,-0.341,0.231,98.000
00:00:00.830,-0.020,-0.079,-0.338,0.228,98.000
00:00:00.840,-0.015,-0.080,-0.336,0.225,98.000
00:00:00.850,-0.025,-0.081,-0.334,0.222,98.000
00:00:00.860,-0.035,-0.083,-0.332,0.218,98.000
00:00:00.870,-0.045,-0.085,-0.330,0.215,98.000
00:00:00.880,-0.045,-0.087,-0.327,0.212,98.000
00:00:00.890,-0.060,-0.088,-0.325,0.208,98.000
00:00:00.900,-0.065,-0.090,-0.323,0.205,98.000
00:00:00.910,-0.070,-0.088,-0.320,0.202,98.000
00:00:00.920,-0.055,-0.086,-0.317,0.198,98.000
00:00:00.930,-0.060,-0.084,-0.314,0.195,98.000
00:00:00.940,-0.080,-0.082,-0.311,0.191,98.000
00:00:00.950,-0.075,-0.080,-0.308,0.188,98.000
00:00:00.960,-0.090,-0.076,-0.307,0.184,98.000
00:00:00.970,-0.065,-0.072,-0.305,0.181,98.000
00:00:00.980,-0.075,-0.068,-0.304,0.177,98.000
00:00:00.990,-0.080,-0.064,-0.302,0.174,98.000
00:00:01.000,-0.080,-0.059,-0.301,0.170,98.000
00:00:01.010,-0.085,-0.063,-0.296,0.166,98.000
00:00:01.020,-0.090,-0.066,-0.291,0.163,98.000
00:00:01.030,-0.075,-0.069,-0.286,0.159,98.000
00:00:01.040,-0.085,-0.072,-0.281,0.155,98.000
00:00:01.050,-0.095,-0.076,-0.276,0.151,98.000
00:00:01.060,-0.105,-0.080,-0.270,0.147,98.000
00:00:01.070,-0.090,-0.084,-0.263,0.144,98.000
00:00:01.080,-0.095,-0.088,-0.257,0.140,98.000
00:00:01.090,-0.070,-0.092,-0.250,0.136,98.000
00:00:01.100,-0.045,-0.096,-0.243,0.133,98.000
00:00:01.110,0.005,-0.092,-0.240,0.129,98.000
00:00:01.120,0.030,-0.089,-0.236,0.125,98.000
00:00:01.130,0.070,-0.085,-0.232,0.122,98.000
00:00:01.140,0.195,-0.081,-0.229,0.118,98.000
00:00:01.150,0.145,-0.077,-0.225,0.115,98.000
00:00:01.160,0.050,-0.082,-0.215,0.111,98.000
00:00:01.170,-0.015,-0.086,-0.205,0.107,98.000
00:00:01.180,-0.025,-0.090,-0.195,0.103,98.000
00:00:01.190,-0.115,-0.094,-0.185,0.099,98.000
00:00:01.200,-0.180,-0.098,-0.176,0.095,98.000
00:00:01.210,-0.190,-0.094,-0.171,0.092,98.000
00:00:01.220,-0.185,-0.091,-0.167,0.088,98.000
00:00:01.230,-0.185,-0.087,-0.163,0.084,98.000
00:00:01.240,-0.215,-0.083,-0.159,0.080,98.000
00:00:01.250,0.010,-0.080,-0.155,0.077,98.000
00:00:01.260,0.575,-0.079,-0.154,0.073,98.000
00:00:01.270,1.185,-0.079,-0.153,0.069,98.000
00:00:01.280,0.960,-0.078,-0.152,0.065,98.000
00:00:01.290,-0.160,-0.078,-0.151,0.062,98.000
00:00:01.300,-0.740,-0.077,-0.150,0.058,98.000
00:00:01.310,-0.640,-0.076,-0.145,0.054,98.000
00:00:01.320,-0.350,-0.076,-0.140,0.050,98.000
00:00:01.330,-0.175,-0.075,-0.135,0.046,98.000
00:00:01.340,-0.145,-0.074,-0.130,0.043,98.000
00:00:01.350,-0.150,-0.074,-0.125,0.039,98.000
00:00:01.360,-0.145,-0.073,-0.123,0.035,98.000
00:00:01.370,-0.105,-0.072,-0.121,0.031,98.000
00:00:01.380,-0.120,-0.072,-0.119,0.028,98.000
00:00:01.390,-0.090,-0.071,-0.117,0.024,98.000
00:00:01.400,-0.085,-0.071,-0.115,0.020,98.000
00:00:01.410,-0.070,-0.071,-0.110,0.017,98.000
00:00:01.420,-0.040,-0.072,-0.105,0.013,98.000
00:00:01.430,-0.020,-0.072,-0.100,0.009,98.000
00:00:01.440,0.005,-0.072,-0.094,0.005,98.000
00:00:01.450,0.020,-0.073,-0.089,0.002,98.000
00:00:01.460,0.045,-0.078,-0.093,-0.002,98.000
00:00:01.470,0.080,-0.083,-0.096,-0.006,98.000
00:00:01.480,0.115,-0.088,-0.099,-0.009,98.000
00:00:01.490,0.140,-0.094,-0.102,-0.013,98.000
00:00:01.500,0.165,-0.099,-0.105,-0.017,98.000
00:00:01.510,0.210,-0.104,-0.105,-0.020,98.000
00:00:01.520,0.190,-0.110,-0.105,-0.024,98.000
00:00:01.530,0.220,-0.115,-0.105,-0.027,98.000
00:00:01.540,0.210,-0.121,-0.105,-0.031,98.000
00:00:01.550,0.215,-0.126,-0.105,-0.034,98.000
00:00:01.560,0.215,-0.113,-0.095,-0.038,98.000
00:00:01.570,0.160,-0.100,-0.086,-0.042,98.000
00:00:01.580,0.135,-0.087,-0.076,-0.045,98.000
00:00:01.590,0.100,-0.074,-0.066,-0.049,98.000
00:00:01.600,0.050,-0.061,-0.057,-0.053,98.000
00:00:01.610,0.035,-0.068,-0.060,-0.056,98.000
00:00:01.620,-0.005,-0.075,-0.064,-0.060,98.000
00:00:01.630,0.005,-0.082,-0.068,-0.064,98.000
00:00:01.640,-0.005,-0.089,-0.072,-0.067,98.000
00:00:01.650,-0.015,-0.096,-0.075,-0.071,98.000
00:00:01.660,-0.020,-0.094,-0.072,-0.074,98.000
00:00:01.670,-0.010,-0.092,-0.070,-0.078,98.000
00:00:01.680,0.000,-0.090,-0.067,-0.081,98.000
00:00:01.690,-0.020,-0.089,-0.064,-0.085,98.000
00:00:01.700,-0.005,-0.087,-0.062,-0.088,98.000
00:00:01.710,-0.040,-0.079,-0.056,-0.091,98.000
00:00:01.720,-0.035,-0.070,-0.049,-0.095,98.000
00:00:01.730,-0.050,-0.061,-0.043,-0.098,98.000
00:00:01.740,-0.040,-0.053,-0.037,-0.101,98.000
00:00:01.750,-0.055,-0.044,-0.031,-0.105,98.000
00:00:01.760,-0.075,-0.052,-0.034,-0.108,98.000
00:00:01.770,-0.050,-0.059,-0.037,-0.111,98.000
00:00:01.780,-0.075,-0.066,-0.040,-0.114,98.000
00:00:01.790,-0.090,-0.073,-0.043,-0.117,98.000
00:00:01.800,-0.080,-0.080,-0.045,-0.120,98.000
00:00:01.810,-0.090,-0.079,-0.044,-0.124,98.000
00:00:01.820,-0.080,-0.078,-0.042,-0.127,98.000
00:00:01.830,-0.075,-0.077,-0.041,-0.130,98.000
00:00:01.840,-0.085,-0.076,-0.039,-0.133,98.000
00:00:01.850,-0.085,-0.075,-0.038,-0.137,98.000
00:00:01.860,-0.095,-0.079,-0.038,-0.139,98.000
00:00:01.870,-0.095,-0.084,-0.038,-0.142,98.000
00:00:01.880,-0.105,-0.088,-0.038,-0.145,98.000
00:00:01.890,-0.080,-0.092,-0.039,-0.148,98.000
00:00:01.900,-0.115,-0.096,-0.039,-0.151,98.000
00:00:01.910,-0.100,-0.093,-0.036,-0.154,98.000
00:00:01.920,-0.095,-0.089,-0.033,-0.157,98.000
00:00:01.930,-0.100,-0.086,-0.030,-0.159,98.000
00:00:01.940,-0.075,-0.082,-0.027,-0.162,98.000
00:00:01.950,-0.005,-0.079,-0.024,-0.165,98.000
00:00:01.960,0.010,-0.071,-0.018,-0.167,98.000
00:00:01.970,0.055,-0.063,-0.013,-0.170,98.000
00:00:01.980,0.185,-0.056,-0.007,-0.173,98.000
00:00:01.990,0.145,-0.048,-0.001,-0.175,98.000
00:00:02.000,0.075,-0.040,0.004,-0.178,98.000
00:00:02.010,-0.005,-0.038,0.007,-0.181,98.000
00:00:02.020,-0.025,-0.036,0.011,-0.183,98.000
00:00:02.030,-0.110,-0.034,0.014,-0.186,98.000
00:00:02.040,-0.175,-0.033,0.017,-0.188,98.000
00:00:02.050,-0.180,-0.031,0.020,-0.191,98.000
00:00:02.060,-0.220,-0.028,0.022,-0.193,98.000
00:00:02.070,-0.175,-0.025,0.025,-0.196,98.000
00:00:02.080,-0.240,-0.022,0.028,-0.198,98.000
00:00:02.090,-0.030,-0.019,0.030,-0.201,98.000
00:00:02.100,0.530,-0.017,0.033,-0.203,98.000
00:00:02.110,1.210,-0.016,0.035,-0.205,98.000
00:00:02.120,1.220,-0.015,0.037,-0.208,98.000
00:00:02.130,-0.105,-0.014,0.039,-0.210,98.000
00:00:02.140,-0.795,-0.013,0.041,-0.213,98.000
00:00:02.150,-0.690,-0.012,0.043,-0.215,98.000
00:00:02.160,-0.375,-0.009,0.045,-0.217,98.000
00:00:02.170,-0.165,-0.006,0.048,-0.219,98.000
00:00:02.180,-0.155,-0.003,0.051,-0.222,98.000
00:00:02.190,-0.135,-0.000,0.054,-0.224,98.000
00:00:02.200,-0.150,0.003,0.057,-0.226,98.000
00:00:02.210,-0.120,0.005,0.058,-0.228,98.000
00:00:02.220,-0.120,0.007,0.060,-0.230,98.000
00:00:02.230,-0.090,0.009,0.061,-0.232,98.000
00:00:02.240,-0.095,0.011,0.062,-0.234,98.000
00:00:02.250,-0.050,0.013,0.064,-0.237,98.000
00:00:02.260,-0.050,0.013,0.065,-0.238,98.000
00:00:02.270,-0.010,0.014,0.065,-0.240,98.000
00:00:02.280,-0.005,0.014,0.066,-0.242,98.000
00:00:02.290,0.030,0.015,0.067,-0.244,98.000
00:00:02.300,0.080,0.016,0.068,-0.246,98.000
00:00:02.310,0.075,0.013,0.069,-0.248,98.000
00:00:02.320,0.145,0.011,0.070,-0.250,98.000
00:00:02.330,0.155,0.008,0.071,-0.251,98.000
00:00:02.340,0.200,0.006,0.072,-0.253,98.000
00:00:02.350,0.200,0.004,0.074,-0.255,98.000
00:00:02.360,0.240,0.002,0.076,-0.257,98.000
00:00:02.370,0.235,0.001,0.079,-0.258,98.000
00:00:02.380,0.245,-0.000,0.082,-0.260,98.000
00:00:02.390,0.245,-0.002,0.085,-0.262,98.000
00:00:02.400,0.215,-0.003,0.088,-0.264,98.000
00:00:02.410,0.180,-0.008,0.093,-0.265,98.000
00:00:02.420,0.150,-0.013,0.098,-0.267,98.000
00:00:02.430,0.090,-0.018,0.103,-0.269,98.000
00:00:02.440,0.035,-0.023,0.108,-0.270,98.000
00:00:02.450,0.025,-0.028,0.113,-0.272,98.000
00:00:02.460,0.000,-0.035,0.117,-0.273,98.000
00:00:02.470,-0.015,-0.041,0.120,-0.275,98.000
00:00:02.480,-0.030,-0.048,0.124,-0.276,98.000
00:00:02.490,0.000,-0.055,0.128,-0.278,98.000
00:00:02.500,-0.020,-0.062,0.131,-0.279,98.000
00:00:02.510,-0.005,-0.056,0.134,-0.281,98.000
00:00:02.520,-0.025,-0.049,0.137,-0.282,98.000
00:00:02.530,-0.030,-0.043,0.139,-0.284,98.000
00:00:02.540,-0.015,-0.037,0.142,-0.285,98.000
00:00:02.550,-0.010,-0.030,0.145,-0.287,98.000
00:00:02.560,-0.035,-0.033,0.149,-0.288,98.000
00:00:02.570,-0.040,-0.035,0.154,-0.290,98.000
00:00:02.580,-0.050,-0.037,0.158,-0.291,98.000
00:00:02.590,-0.045,-0.039,0.163,-0.293,98.000
00:00:02.600,-0.040,-0.041,0.167,-0.294,98.000
00:00:02.610,-0.075,-0.048,0.169,-0.295,98.000
00:00:02.620,-0.065,-0.055,0.171,-0.297,98.000
00:00:02.630,-0.095,-0.061,0.172,-0.298,98.000
00:00:02.640,-0.085,-0.068,0.174,-0.299,98.000
00:00:02.650,-0.085,-0.075,0.175,-0.301,98.000
00:00:02.660,-0.090,-0.079,0.182,-0.302,98.000
00:00:02.670,-0.100,-0.083,0.189,-0.303,98.000
00:00:02.680,-0.100,-0.087,0.196,-0.305,98.000
00:00:02.690,-0.080,-0.092,0.203,-0.306,98.000
00:00:02.700,-0.105,-0.096,0.210,-0.307,98.000
00:00:02.710,-0.105,-0.098,0.217,-0.308,98.000
00:00:02.720,-0.100,-0.099,0.223,-0.310,98.000
00:00:02.730,-0.105,-0.101,0.230,-0.311,98.000
00:00:02.740,-0.095,-0.102,0.236,-0.312,98.000
00:00:02.750,-0.100,-0.104,0.243,-0.313,98.000
00:00:02.760,-0.090,-0.096,0.239,-0.314,98.000
00:00:02.770,-0.035,-0.088,0.235,-0.315,98.000
00:00:02.780,0.010,-0.080,0.231,-0.317,98.000
00:00:02.790,0.035,-0.072,0.227,-0.318,98.000
00:00:02.800,0.070,-0.064,0.224,-0.319,98.000
00:00:02.810,0.190,-0.061,0.226,-0.320,98.000
00:00:02.820,0.125,-0.058,0.228,-0.322,98.000
00:00:02.830,0.045,-0.056,0.230,-0.323,98.000
00:00:02.840,-0.035,-0.053,0.232,-0.324,98.000
00:00:02.850,-0.060,-0.051,0.234,-0.326,98.000
00:00:02.860,-0.155,-0.049,0.236,-0.327,98.000
00:00:02.870,-0.210,-0.047,0.239,-0.327,98.000
00:00:02.880,-0.225,-0.045,0.241,-0.328,98.000
00:00:02.890,-0.200,-0.043,0.244,-0.329,98.000
00:00:02.900,-0.215,-0.041,0.246,-0.330,98.000
00:00:02.910,-0.265,-0.048,0.246,-0.331,98.000
00:00:02.920,0.070,-0.054,0.246,-0.332,98.000
00:00:02.930,0.865,-0.061,0.246,-0.333,98.000
00:00:02.940,1.495,-0.067,0.246,-0.334,98.000
00:00:02.950,0.625,-0.074,0.246,-0.334,98.000
00:00:02.960,-0.440,-0.077,0.248,-0.335,98.000
00:00:02.970,-0.815,-0.081,0.250,-0.336,98.000
00:00:02.980,-0.600,-0.085,0.253,-0.336,98.000
00:00:02.990,-0.310,-0.088,0.255,-0.337,98.000
00:00:03.000,-0.175,-0.092,0.257,-0.337,98.000
00:00:03.010,-0.180,-0.087,0.254,-0.337,98.000
00:00:03.020,-0.165,-0.082,0.251,-0.337,98.000
00:00:03.030,-0.135,-0.077,0.249,-0.337,98.000
00:00:03.040,-0.135,-0.071,0.246,-0.337,98.000
00:00:03.050,-0.115,-0.066,0.243,-0.337,98.000
00:00:03.060,-0.105,-0.061,0.236,-0.336,98.000
00:00:03.070,-0.085,-0.056,0.230,-0.335,98.000
00:00:03.080,-0.060,-0.051,0.224,-0.334,98.000
00:00:03.090,-0.030,-0.046,0.218,-0.333,98.000
00:00:03.100,-0.020,-0.040,0.212,-0.332,98.000
00:00:03.110,0.015,-0.038,0.208,-0.330,98.000
00:00:03.120,0.050,-0.035,0.204,-0.327,98.000
00:00:03.130,0.070,-0.032,0.200,-0.325,98.000
00:00:03.140,0.105,-0.029,0.197,-0.323,98.000
00:00:03.150,0.165,-0.026,0.193,-0.321,98.000
00:00:03.160,0.200,-0.029,0.191,-0.318,98.000
00:00:03.170,0.205,-0.031,0.189,-0.315,98.000
00:00:03.180,0.235,-0.033,0.187,-0.311,98.000
00:00:03.190,0.235,-0.036,0.185,-0.308,98.000
00:00:03.200,0.265,-0.038,0.183,-0.305,98.000
00:00:03.210,0.260,-0.032,0.179,-0.301,98.000
00:00:03.220,0.235,-0.026,0.175,-0.297,98.000
00:00:03.230,0.215,-0.020,0.171,-0.293,98.000
00:00:03.240,0.170,-0.013,0.167,-0.289,98.000
00:00:03.250,0.125,-0.007,0.163,-0.285,98.000
00:00:03.260,0.090,-0.008,0.160,-0.282,98.000
00:00:03.270,0.025,-0.009,0.156,-0.278,98.000
00:00:03.280,-0.015,-0.010,0.152,-0.274,98.000
00:00:03.290,-0.030,-0.011,0.149,-0.271,98.000
00:00:03.300,-0.035,-0.012,0.145,-0.267,98.000
00:00:03.310,-0.040,-0.017,0.145,-0.263,98.000
00:00:03.320,-0.040,-0.021,0.144,-0.259,98.000
00:00:03.330,-0.035,-0.025,0.144,-0.256,98.000
00:00:03.340,-0.040,-0.030,0.143,-0.252,98.000
00:00:03.350,-0.020,-0.034,0.143,-0.248,98.000
00:00:03.360,-0.040,-0.029,0.141,-0.245,98.000
00:00:03.370,-0.040,-0.024,0.138,-0.241,98.000
00:00:03.380,-0.030,-0.020,0.136,-0.237,98.000
00:00:03.390,-0.045,-0.015,0.134,-0.233,98.000
00:00:03.400,-0.065,-0.010,0.131,-0.229,98.000
00:00:03.410,-0.060,-0.011,0.128,-0.226,98.000
00:00:03.420,-0.060,-0.011,0.124,-0.222,98.000
00:00:03.430,-0.090,-0.012,0.120,-0.219,98.000
00:00:03.440,-0.080,-0.013,0.116,-0.215,98.000
00:00:03.450,-0.095,-0.013,0.112,-0.211,98.000
00:00:03.460,-0.085,-0.011,0.109,-0.208,98.000
00:00:03.470,-0.105,-0.010,0.106,-0.205,98.000
00:00:03.480,-0.090,-0.008,0.103,-0.201,98.000
00:00:03.490,-0.100,-0.006,0.100,-0.198,98.000
00:00:03.500,-0.105,-0.004,0.096,-0.194,98.000
00:00:03.510,-0.115,-0.004,0.094,-0.191,98.000
00:00:03.520,-0.100,-0.003,0.092,-0.187,98.000
00:00:03.530,-0.115,-0.002,0.089,-0.184,98.000
00:00:03.540,-0.110,-0.001,0.087,-0.181,98.000
00:00:03.550,-0.135,-0.000,0.084,-0.177,98.000
00:00:03.560,-0.095,-0.002,0.083,-0.174,98.000
00:00:03.570,-0.125,-0.004,0.082,-0.170,98.000
00:00:03.580,-0.105,-0.005,0.080,-0.167,98.000
00:00:03.590,-0.085,-0.007,0.079,-0.164,98.000
00:00:03.600,-0.015,-0.009,0.077,-0.160,98.000
00:00:03.610,0.020,-0.006,0.075,-0.157,98.000
00:00:03.620,0.030,-0.003,0.072,-0.153,98.000
00:00:03.630,0.135,0.000,0.069,-0.150,98.000
00:00:03.640,0.160,0.003,0.066,-0.147,98.000
00:00:03.650,0.105,0.006,0.063,-0.143,98.000
00:00:03.660,0.030,0.008,0.063,-0.140,98.000
00:00:03.670,-0.050,0.010,0.063,-0.137,98.000
00:00:03.680,-0.050,0.013,0.063,-0.134,98.000
00:00:03.690,-0.170,0.015,0.063,-0.130,98.000
00:00:03.700,-0.205,0.017,0.062,-0.127,98.000
00:00:03.710,-0.215,0.017,0.061,-0.124,98.000
00:00:03.720,-0.175,0.017,0.060,-0.121,98.000
00:00:03.730,-0.210,0.017,0.059,-0.118,98.000
00:00:03.740,-0.215,0.017,0.058,-0.115,98.000
00:00:03.750,0.175,0.017,0.057,-0.112,98.000
00:00:03.760,1.090,0.015,0.054,-0.109,98.000
00:00:03.770,1.700,0.013,0.051,-0.106,98.000
00:00:03.780,0.335,0.011,0.049,-0.103,98.000
00:00:03.790,-0.615,0.009,0.046,-0.100,98.000
00:00:03.800,-0.705,0.007,0.043,-0.097,98.000
00:00:03.810,-0.460,0.004,0.041,-0.094,98.000
00:00:03.820,-0.175,0.001,0.038,-0.091,98.000
00:00:03.830,-0.165,-0.003,0.035,-0.088,98.000
00:00:03.840,-0.145,-0.006,0.032,-0.084,98.000
00:00:03.850,-0.155,-0.009,0.030,-0.081,98.000
00:00:03.860,-0.115,-0.011,0.027,-0.078,98.000
00:00:03.870,-0.120,-0.013,0.024,-0.075,98.000
00:00:03.880,-0.105,-0.015,0.021,-0.072,98.000
00:00:03.890,-0.105,-0.016,0.018,-0.069,98.000
00:00:03.900,-0.085,-0.018,0.015,-0.066,98.000
00:00:03.910,-0.060,-0.022,0.011,-0.063,98.000
00:00:03.920,-0.015,-0.026,0.006,-0.060,98.000
00:00:03.930,-0.005,-0.030,0.001,-0.057,98.000
00:00:03.940,0.020,-0.035,-0.004,-0.053,98.000
00:00:03.950,0.050,-0.039,-0.009,-0.050,98.000
00:00:03.960,0.080,-0.044,-0.014,-0.047,98.000
00:00:03.970,0.105,-0.049,-0.019,-0.044,98.000
00:00:03.980,0.180,-0.055,-0.024,-0.041,98.000
00:00:03.990,0.205,-0.060,-0.029,-0.038,98.000
00:00:04.000,0.240,-0.065,-0.034,-0.035,98.000
00:00:04.010,0.235,-0.062,-0.032,-0.032,98.000
00:00:04.020,0.270,-0.058,-0.030,-0.029,98.000
00:00:04.030,0.270,-0.054,-0.029,-0.026,98.000
00:00:04.040,0.280,-0.051,-0.027,-0.023,98.000
00:00:04.050,0.260,-0.047,-0.026,-0.020,98.000
00:00:04.060,0.230,-0.053,-0.031,-0.017,98.000
00:00:04.070,0.175,-0.059,-0.036,-0.014,98.000
00:00:04.080,0.135,-0.065,-0.041,-0.011,98.000
00:00:04.090,0.090,-0.071,-0.046,-0.008,98.000
00:00:04.100,0.045,-0.077,-0.051,-0.006,98.000
00:00:04.110,0.000,-0.075,-0.051,-0.003,98.000
00:00:04.120,-0.005,-0.073,-0.050,0.000,98.000
00:00:04.130,-0.025,-0.071,-0.050,0.003,98.000
00:00:04.140,-0.025,-0.069,-0.049,0.006,98.000
00:00:04.150,-0.025,-0.067,-0.049,0.009,98.000
00:00:04.160,-0.020,-0.063,-0.047,0.012,98.000
00:00:04.170,0.000,-0.060,-0.045,0.014,98.000
00:00:04.180,-0.005,-0.056,-0.044,0.017,98.000
00:00:04.190,-0.005,-0.053,-0.042,0.020,98.000
00:00:04.200,-0.005,-0.049,-0.040,0.023,98.000
00:00:04.210,-0.005,-0.058,-0.047,0.026,98.000
00:00:04.220,-0.010,-0.067,-0.054,0.028,98.000
00:00:04.230,-0.025,-0.076,-0.061,0.031,98.000
00:00:04.240,-0.020,-0.085,-0.068,0.034,98.000
00:00:04.250,-0.040,-0.094,-0.075,0.036,98.000
00:00:04.260,-0.040,-0.092,-0.074,0.039,98.000
00:00:04.270,-0.040,-0.089,-0.073,0.041,98.000
00:00:04.280,-0.050,-0.087,-0.072,0.044,98.000
00:00:04.290,-0.060,-0.085,-0.071,0.046,98.000
00:00:04.300,-0.050,-0.083,-0.071,0.049,98.000
00:00:04.310,-0.065,-0.081,-0.071,0.051,98.000
00:00:04.320,-0.060,-0.079,-0.071,0.054,98.000
00:00:04.330,-0.070,-0.077,-0.071,0.056,98.000
00:00:04.340,-0.060,-0.075,-0.071,0.059,98.000
00:00:04.350,-0.090,-0.072,-0.071,0.061,98.000
00:00:04.360,-0.080,-0.070,-0.070,0.064,98.000
00:00:04.370,-0.095,-0.068,-0.069,0.066,98.000
00:00:04.380,-0.085,-0.065,-0.068,0.068,98.000
00:00:04.390,-0.100,-0.063,-0.067,0.071,98.000
00:00:04.400,-0.090,-0.061,-0.066,0.073,98.000
00:00:04.410,-0.095,-0.060,-0.066,0.075,98.000
00:00:04.420,-0.085,-0.059,-0.067,0.077,98.000
00:00:04.430,-0.100,-0.058,-0.067,0.080,98.000
00:00:04.440,-0.075,-0.056,-0.067,0.082,98.000
00:00:04.450,-0.095,-0.055,-0.067,0.084,98.000
00:00:04.460,-0.080,-0.054,-0.070,0.086,98.000
00:00:04.470,-0.075,-0.053,-0.073,0.088,98.000
00:00:04.480,0.000,-0.051,-0.075,0.090,98.000
00:00:04.490,0.030,-0.050,-0.078,0.093,98.000
00:00:04.500,0.035,-0.049,-0.081,0.095,98.000
